evaluations raw_y x0 x1 x2 x3 x4
1 2.7598427880 0.879775 -0.182503 -4.094713 -4.997360 -2.161868
78 1.8014959944 0.239122 0.134368 -3.732493 -5.000000 -1.123877
140 1.6499074042 1.418355 -1.457768 -4.628382 -3.681059 -3.208260
190 1.4158393653 0.986245 -0.151858 -4.365613 -4.753138 -1.654465
353 1.3374587784 0.239122 0.706715 -3.657791 -4.881081 -0.902121
489 1.2319568263 -0.441777 0.080192 -4.220596 -4.758217 -0.578849
761 1.1527207199 0.090904 0.779574 -3.702528 -4.769734 -1.099490
808 1.1131108044 0.147723 0.808706 -3.761435 -4.714172 -0.973759
815 1.0980041863 -0.425474 3.012931 -2.696207 -4.753138 -0.405602
900 0.8857080345 -0.301492 1.797682 -3.287839 -4.428731 -0.701436
951 0.8682456618 -0.698690 3.044912 -2.610005 -4.480226 -0.336580
992 0.6920091711 -0.154992 1.803444 -3.245707 -4.806399 -0.766082
1252 0.6793479794 -0.085827 1.944590 -3.187705 -4.755159 -0.792738
1368 0.5795123227 -0.114130 1.912893 -3.097639 -4.722481 -0.910995
1615 0.5566701286 -0.122830 1.896512 -3.114048 -4.655527 -0.904383
1730 0.5203897521 -0.108352 1.815443 -3.215325 -4.804126 -0.787926
1733 0.5149623838 -0.118880 1.853497 -3.159821 -4.825299 -0.803700
2144 0.4875077196 -0.121974 1.848277 -3.116259 -4.876226 -0.824424
2179 0.4863684807 -0.129449 1.833420 -3.141591 -4.837271 -0.810513
2184 0.4749161055 -0.118361 1.868872 -3.104671 -4.763660 -0.884256
2373 0.4590351976 -0.124681 1.842829 -3.146819 -4.805713 -0.829880
2381 0.4517405724 -0.113038 1.840618 -3.157774 -4.870937 -0.795830
2544 0.4469137683 -0.116733 1.832399 -3.171787 -4.876226 -0.785688
2569 0.4447430325 -0.116588 1.837904 -3.171787 -4.851276 -0.795602
2610 0.4390076825 -0.121196 1.833901 -3.162350 -4.854883 -0.804215
2686 0.4359409472 -0.117510 1.835451 -3.165182 -4.850869 -0.799226
2728 0.4246147483 -0.117726 1.832712 -3.168105 -4.869963 -0.792590
2915 0.4225437848 -0.125175 1.826620 -3.165496 -4.842499 -0.801543
3048 0.4177731435 -0.122917 1.828415 -3.167454 -4.855776 -0.796478
3568 0.4149252491 -0.120885 1.831365 -3.169916 -4.856577 -0.795439
3951 0.4128390891 -0.116958 1.832035 -3.165828 -4.861187 -0.793294
4151 0.4110218511 -0.114900 1.832989 -3.164696 -4.863004 -0.792185
4287 0.4108876112 -0.116302 1.831809 -3.164342 -4.861000 -0.793183
4334 0.4105366747 -0.116135 1.831845 -3.164156 -4.860427 -0.793037
4381 0.4103182006 -0.115645 1.832367 -3.164568 -4.861618 -0.792604
4397 0.4101870716 -0.117908 1.831718 -3.166123 -4.859790 -0.793910
4475 0.4101090229 -0.115942 1.831483 -3.163474 -4.860631 -0.793115
