evaluations raw_y x0 x1 x2 x3 x4
1 4.4267155514 1.949566 2.162354 0.280336 -1.191227 0.526949
2 1.5313820342 -0.138000 -2.546541 0.117620 -4.577003 -3.101946
38 0.5637978397 -1.265234 -1.237119 -2.086136 -5.000000 1.005134
63 0.2449866649 -1.265234 -1.237119 0.203469 -4.581937 0.750217
151 0.1293577730 -2.582950 -1.781504 -0.844215 -2.183878 2.046395
252 0.1269263097 -1.008628 -3.279758 1.819208 -2.391684 1.253928
253 0.1109838515 -1.370014 -1.377982 1.483056 -2.485332 1.937315
277 0.0757900302 -1.008628 -3.279758 1.819208 -2.391684 2.673110
332 0.0672920865 -0.974575 -4.222526 1.911694 -3.008159 1.782894
352 0.0562739138 -1.008628 -3.279758 2.622869 -2.391684 2.673110
357 0.0469918884 -0.974575 -4.222526 1.008157 -3.068816 1.782894
363 0.0288246353 -1.265234 -4.817136 0.984681 -1.891802 2.160084
463 0.0057694628 -1.265234 -4.817136 0.429872 -1.891802 2.191891
778 0.0042857696 -1.121533 -4.723593 0.794720 -2.046846 2.107254
862 0.0037274091 -1.213487 -4.688633 0.654330 -2.010486 2.195988
938 0.0032799271 -1.247510 -4.799736 0.493319 -1.920817 2.198512
1056 0.0032592739 -1.099978 -4.680238 0.844874 -2.113257 2.087015
1179 0.0029961291 -0.960046 -4.814315 1.366485 -2.122908 2.203640
1222 0.0029617331 -0.943882 -4.842289 1.243449 -2.139630 2.125163
1283 0.0025374013 -1.079685 -4.696491 0.981262 -2.113126 2.137987
1316 0.0020253880 -1.055325 -4.792019 1.014877 -2.079563 2.159989
1591 0.0020073992 -1.055325 -4.788677 1.020107 -2.079563 2.159989
2002 0.0019555609 -1.063946 -4.758709 1.031900 -2.090525 2.170639
2227 0.0019191715 -1.058074 -4.758709 1.019373 -2.094964 2.149350
2240 0.0019037825 -1.076442 -4.765096 0.979140 -2.075601 2.161036
2452 0.0019001258 -1.061598 -4.766607 1.005986 -2.085653 2.150592
2576 0.0018908782 -1.059514 -4.768944 0.984329 -2.089696 2.135838
2597 0.0018767008 -1.063009 -4.765390 0.996067 -2.086952 2.147766
2714 0.0018751774 -1.065174 -4.755454 0.980979 -2.090810 2.136956
2784 0.0018737750 -1.073178 -4.755552 0.970462 -2.085040 2.146594
2836 0.0018727096 -1.072439 -4.761375 0.971384 -2.082453 2.148078
2851 0.0018593139 -1.068974 -4.760090 0.945637 -2.088941 2.127172
2852 0.0018569489 -1.071840 -4.761092 0.935730 -2.084297 2.124986
2915 0.0018406450 -1.071589 -4.758079 0.912706 -2.088187 2.110058
3005 0.0018224237 -1.076213 -4.755745 0.862101 -2.087868 2.085772
3025 0.0018040931 -1.073343 -4.764433 0.876022 -2.086494 2.095657
3070 0.0017092626 -1.068960 -4.772761 0.840342 -2.087630 2.070153
3107 0.0015607848 -1.078900 -4.774788 0.722094 -2.084423 2.020956
3199 0.0014500896 -1.078202 -4.772389 0.727509 -2.085373 2.019275
3213 0.0011966520 -1.087285 -4.777679 0.595351 -2.083211 1.962507
3251 0.0007422805 -1.093830 -4.783946 0.492058 -2.081184 1.916735
3257 0.0006053838 -1.094599 -4.784794 0.447779 -2.082157 1.892162
3277 0.0005505539 -1.097523 -4.779160 0.439242 -2.083948 1.888245
3310 0.0005206031 -1.097139 -4.782816 0.432113 -2.083271 1.885333
3358 0.0004857956 -1.100392 -4.784679 0.377436 -2.080221 1.857933
3383 0.0003521300 -1.096951 -4.784679 0.418278 -2.081075 1.874416
3552 0.0003518127 -1.097708 -4.785875 0.407405 -2.078810 1.869553
3687 0.0003499124 -1.096984 -4.797825 0.374312 -2.077631 1.857011
3723 0.0003144661 -1.096480 -4.790500 0.397127 -2.079462 1.864953
3780 0.0003053696 -1.095228 -4.789474 0.436705 -2.077933 1.884699
3786 0.0002997164 -1.095749 -4.789812 0.430097 -2.077918 1.881663
3792 0.0002640096 -1.096088 -4.792218 0.405078 -2.078194 1.869488
3884 0.0002597096 -1.093320 -4.794749 0.432320 -2.077465 1.882376
3921 0.0002204115 -1.095745 -4.799799 0.370597 -2.076385 1.851716
3947 0.0002138037 -1.094659 -4.796669 0.400945 -2.077588 1.867201
4022 0.0002065835 -1.094674 -4.796669 0.400945 -2.077588 1.866999
4071 0.0001762026 -1.092388 -4.802593 0.404940 -2.076385 1.868263
4116 0.0001726542 -1.092227 -4.800831 0.418618 -2.076379 1.875255
4159 0.0001685712 -1.092764 -4.800152 0.413964 -2.076493 1.873164
4280 0.0001672642 -1.092617 -4.803186 0.402391 -2.076032 1.867732
4293 0.0001626411 -1.092506 -4.805351 0.376638 -2.075458 1.852612
4300 0.0001600123 -1.093413 -4.799893 0.397957 -2.076443 1.864133
4350 0.0001577451 -1.093393 -4.799893 0.398369 -2.076443 1.864266
4468 0.0001129047 -1.092070 -4.804832 0.384820 -2.075912 1.856507
4684 0.0001083429 -1.092609 -4.804853 0.378614 -2.075955 1.853796
4809 0.0001046616 -1.092609 -4.805195 0.374901 -2.075955 1.851830
5059 0.0001033608 -1.092609 -4.804569 0.378520 -2.076080 1.853640
5168 0.0001029223 -1.092463 -4.804474 0.381265 -2.076085 1.854990
5196 0.0001019965 -1.092476 -4.804560 0.380950 -2.076095 1.854907
5386 0.0001018188 -1.092469 -4.804461 0.380549 -2.076168 1.854591
5506 0.0001017583 -1.092488 -4.804411 0.381272 -2.076165 1.855053
5536 0.0001016294 -1.092478 -4.804387 0.381208 -2.076183 1.854973
5607 0.0001016158 -1.092468 -4.804413 0.380841 -2.076182 1.854718
5638 0.0001016090 -1.092461 -4.804442 0.380761 -2.076173 1.854675
5668 0.0001015002 -1.092442 -4.804471 0.380853 -2.076185 1.854721
5670 0.0001014367 -1.092415 -4.804361 0.382024 -2.076200 1.855315
5745 0.0001013843 -1.092350 -4.804415 0.382330 -2.076192 1.855398
5756 0.0001013368 -1.092303 -4.804481 0.382300 -2.076196 1.855320
5770 0.0001013200 -1.092304 -4.804527 0.382015 -2.076192 1.855176
5801 0.0001012724 -1.092243 -4.804448 0.382645 -2.076248 1.855382
5803 0.0001011955 -1.092305 -4.804419 0.382402 -2.076226 1.855350
5820 0.0001010550 -1.092244 -4.804365 0.383044 -2.076270 1.855595
5977 0.0001009691 -1.092307 -4.804398 0.382024 -2.076265 1.855120
6072 0.0001008584 -1.092188 -4.804352 0.383268 -2.076312 1.855611
6093 0.0001007182 -1.092147 -4.804338 0.383460 -2.076343 1.855641
6192 0.0001006380 -1.091904 -4.804275 0.385163 -2.076484 1.856163
6237 0.0001005855 -1.091795 -4.804136 0.385882 -2.076609 1.856302
6252 0.0001004146 -1.091972 -4.804260 0.384498 -2.076472 1.855880
6298 0.0001003883 -1.091880 -4.804221 0.385122 -2.076534 1.856057
6304 0.0001002638 -1.091783 -4.804237 0.385191 -2.076582 1.855905
6339 0.0001000013 -1.091397 -4.804124 0.387415 -2.076845 1.856440
6612 0.0000999126 -1.091181 -4.804136 0.388234 -2.076970 1.856516
6618 0.0000998854 -1.091058 -4.804088 0.388811 -2.077064 1.856597
6660 0.0000996758 -1.091183 -4.804142 0.388009 -2.076980 1.856386
6685 0.0000994515 -1.091183 -4.804122 0.388009 -2.076980 1.856386
6789 0.0000980492 -1.090921 -4.804083 0.389118 -2.077210 1.856617
6792 0.0000978793 -1.090854 -4.804090 0.389280 -2.077263 1.856612
6801 0.0000959889 -1.089752 -4.804198 0.393421 -2.077875 1.856997
6821 0.0000955835 -1.088937 -4.804004 0.397268 -2.078463 1.857698
6842 0.0000953382 -1.088485 -4.803966 0.399159 -2.078756 1.857961
6853 0.0000946652 -1.087170 -4.803881 0.404671 -2.079612 1.858757
6859 0.0000943275 -1.086798 -4.803847 0.406253 -2.079852 1.858978
6860 0.0000922618 -1.085112 -4.803724 0.413235 -2.080968 1.859955
6865 0.0000919948 -1.086398 -4.803907 0.407797 -2.080126 1.859174
6867 0.0000918406 -1.086066 -4.803842 0.409222 -2.080349 1.859390
6873 0.0000910358 -1.085059 -4.803743 0.413295 -2.081015 1.859900
6892 0.0000901949 -1.082103 -4.803467 0.425650 -2.082963 1.861656
6911 0.0000880190 -1.080108 -4.803379 0.433768 -2.084272 1.862775
6912 0.0000879725 -1.081132 -4.803472 0.429545 -2.083599 1.862194
6914 0.0000865321 -1.078774 -4.803278 0.439491 -2.085159 1.863630
6987 0.0000840138 -1.077332 -4.803472 0.445383 -2.086110 1.864407
6990 0.0000806319 -1.078379 -4.803439 0.440977 -2.085422 1.863773
7076 0.0000805269 -1.079904 -4.803577 0.434556 -2.084409 1.862841
7175 0.0000804977 -1.079807 -4.803572 0.434945 -2.084479 1.862888
7289 0.0000803941 -1.079302 -4.803479 0.437132 -2.084812 1.863230
7533 0.0000803464 -1.079276 -4.803474 0.437254 -2.084833 1.863252
7589 0.0000801608 -1.079484 -4.803480 0.436394 -2.084712 1.863130
7673 0.0000793969 -1.078559 -4.803439 0.439609 -2.085339 1.863324
7698 0.0000792528 -1.078559 -4.803444 0.439609 -2.085339 1.863324
7712 0.0000790122 -1.078051 -4.803477 0.441553 -2.085689 1.863523
7714 0.0000782753 -1.079035 -4.803517 0.437399 -2.085043 1.862914
7723 0.0000774233 -1.078586 -4.803514 0.438823 -2.085374 1.862929
7732 0.0000772389 -1.078633 -4.803449 0.438609 -2.085384 1.862890
7734 0.0000770885 -1.076589 -4.803356 0.445840 -2.086866 1.863383
7739 0.0000759667 -1.077788 -4.803470 0.441070 -2.086021 1.862799
7753 0.0000744947 -1.076998 -4.803401 0.443073 -2.086666 1.862550
7767 0.0000732617 -1.076299 -4.803379 0.444476 -2.087260 1.862119
7798 0.0000731543 -1.075934 -4.803370 0.445333 -2.087561 1.861964
7848 0.0000721817 -1.076812 -4.803447 0.441446 -2.086995 1.861322
7914 0.0000721319 -1.076923 -4.803470 0.440678 -2.086941 1.861088
7918 0.0000683823 -1.075975 -4.803488 0.443364 -2.087130 1.860524
7923 0.0000623372 -1.075765 -4.803462 0.443423 -2.087536 1.860339
7932 0.0000573803 -1.074312 -4.803413 0.446086 -2.088641 1.859194
7937 0.0000467305 -1.073433 -4.803477 0.444287 -2.089420 1.856459
7953 0.0000434845 -1.068362 -4.803401 0.455829 -2.093144 1.853780
7957 0.0000409282 -1.068998 -4.803413 0.454332 -2.092677 1.854061
7969 0.0000409101 -1.064243 -4.803568 0.462492 -2.096393 1.850018
7973 0.0000331870 -1.065303 -4.803598 0.456771 -2.095594 1.848504
8018 0.0000312652 -1.066237 -4.803580 0.457038 -2.094862 1.850451
8062 0.0000268396 -1.066291 -4.803684 0.454428 -2.094904 1.848999
8130 0.0000251874 -1.066149 -4.803733 0.453691 -2.095060 1.848317
8135 0.0000240738 -1.067546 -4.803693 0.452184 -2.094018 1.850104
8228 0.0000234046 -1.067842 -4.803722 0.451279 -2.093817 1.850134
8238 0.0000191565 -1.067358 -4.803775 0.450261 -2.094193 1.848573
8249 0.0000187029 -1.067862 -4.803811 0.449157 -2.093846 1.848892
8252 0.0000157378 -1.067981 -4.803942 0.446114 -2.093859 1.847306
8271 0.0000139919 -1.067231 -4.804006 0.445709 -2.094502 1.845669
8376 0.0000137117 -1.066416 -4.803774 0.447215 -2.095125 1.845030
8386 0.0000120552 -1.066539 -4.803781 0.447366 -2.095038 1.845360
8390 0.0000108941 -1.066910 -4.803753 0.446975 -2.094762 1.845821
8509 0.0000102187 -1.067035 -4.803896 0.447202 -2.094650 1.846224
8516 0.0000093912 -1.066998 -4.803992 0.446890 -2.094601 1.845966
8539 0.0000087917 -1.066665 -4.804159 0.447776 -2.094771 1.845957
8573 0.0000085659 -1.066610 -4.804214 0.447931 -2.094792 1.845998
8639 0.0000081138 -1.066688 -4.804159 0.447776 -2.094771 1.846117
8671 0.0000068218 -1.066532 -4.804340 0.447842 -2.094792 1.845957
8694 0.0000064794 -1.066571 -4.804504 0.447872 -2.094709 1.846181
8719 0.0000052009 -1.066366 -4.804799 0.447629 -2.094789 1.845874
8733 0.0000047774 -1.066074 -4.805195 0.448060 -2.094848 1.845811
8757 0.0000040451 -1.065842 -4.805635 0.448064 -2.094813 1.845680
8789 0.0000039745 -1.065866 -4.805639 0.448052 -2.094790 1.845729
8820 0.0000035862 -1.065907 -4.805493 0.447837 -2.094811 1.845504
8823 0.0000035122 -1.065849 -4.805591 0.447622 -2.094804 1.845322
8920 0.0000033522 -1.065840 -4.805580 0.447681 -2.094811 1.845319
8937 0.0000033490 -1.065520 -4.805915 0.447254 -2.094889 1.844620
8993 0.0000030988 -1.066189 -4.805232 0.448223 -2.094585 1.846062
9004 0.0000025389 -1.066289 -4.805232 0.447728 -2.094579 1.846003
9015 0.0000022496 -1.065829 -4.806045 0.447813 -2.094521 1.845668
9032 0.0000018810 -1.066174 -4.805625 0.447705 -2.094420 1.846021
9106 0.0000016137 -1.066268 -4.805544 0.447552 -2.094339 1.845935
9177 0.0000012528 -1.066069 -4.805935 0.447825 -2.094395 1.845923
9230 0.0000009994 -1.065997 -4.806014 0.447866 -2.094433 1.845982
9330 0.0000009908 -1.065989 -4.806014 0.447894 -2.094433 1.845982
9332 0.0000008331 -1.066174 -4.805625 0.447774 -2.094420 1.845942
9365 0.0000007430 -1.066095 -4.805783 0.447747 -2.094381 1.845929
9505 0.0000003350 -1.066072 -4.805825 0.447894 -2.094404 1.845982
9514 0.0000001754 -1.066031 -4.805840 0.447853 -2.094443 1.845894
9638 0.0000001191 -1.066047 -4.805836 0.447858 -2.094429 1.845922
9721 0.0000001163 -1.066040 -4.805834 0.447833 -2.094438 1.845893
9722 0.0000001114 -1.066041 -4.805836 0.447840 -2.094438 1.845898
9729 0.0000000753 -1.066059 -4.805821 0.447811 -2.094428 1.845903
9859 0.0000000685 -1.066061 -4.805822 0.447814 -2.094426 1.845909
9865 0.0000000454 -1.066065 -4.805820 0.447807 -2.094425 1.845915
9873 0.0000000367 -1.066068 -4.805816 0.447796 -2.094424 1.845910
9883 0.0000000164 -1.066074 -4.805813 0.447791 -2.094422 1.845918
9901 0.0000000081 -1.066082 -4.805806 0.447777 -2.094421 1.845920
9951 0.0000000079 -1.066082 -4.805806 0.447777 -2.094421 1.845920
10000 0.0000000645 -1.066077 -4.805807 0.447767 -2.094423 1.845907
