evaluations raw_y x0 x1 x2 x3 x4
1 4.8979960256 0.656819 1.807306 -0.608194 0.930799 -4.312252
7 4.6578138104 3.690194 -0.854396 -1.962921 -1.899503 -3.718784
51 4.2001115369 0.656819 4.603638 -1.928171 -4.036657 -4.312252
57 4.0931219961 -0.329918 3.029339 -1.962921 -1.899503 -3.718784
58 1.9732995411 2.025908 3.221578 -0.826979 -3.221683 -5.000000
82 1.7698140548 1.192777 3.029339 -1.962921 -1.899503 -3.718784
214 1.4833276775 2.717536 -2.073710 -3.973086 -4.102300 -4.853941
478 1.3292615653 1.593640 0.166028 -2.926047 -2.989706 -4.311279
479 1.2795587021 1.856789 0.553120 -3.495959 -2.051060 -3.946800
556 1.2547650608 1.500534 0.169505 -3.599609 -2.252729 -3.733682
605 1.2476728423 1.017441 0.993374 -2.942625 -2.717054 -3.358711
667 1.1706487132 1.146449 1.470420 -3.065409 -1.806936 -3.517897
855 1.1671697038 1.121868 0.993374 -3.017796 -2.693668 -3.358711
878 1.1456487823 1.593640 0.424882 -2.926047 -3.231880 -4.037150
881 0.9065583591 1.615536 1.065854 -3.256282 -2.052108 -3.882898
998 0.8064372222 1.457060 0.743330 -3.112870 -2.249645 -3.800697
1023 0.8044737662 1.457060 0.743330 -3.112870 -2.247965 -3.805282
1137 0.8027573120 1.265413 1.009535 -3.135914 -2.066675 -3.769095
1157 0.7627222108 1.278170 0.961278 -3.223149 -1.960630 -3.686093
1283 0.6808246809 1.390804 0.901162 -3.027908 -2.366718 -3.842085
1365 0.6406108513 1.274370 1.081225 -3.096519 -2.051436 -3.721195
1465 0.6379511866 1.274370 1.081225 -3.096519 -2.051436 -3.755529
1520 0.6249977946 1.407753 0.876860 -2.949533 -2.687591 -3.843691
2058 0.6231481718 1.390804 0.901162 -2.987598 -2.366718 -3.875116
2108 0.6170417221 1.376760 0.911725 -2.986779 -2.366718 -3.875116
2231 0.5443439678 1.376947 0.851934 -2.956816 -2.393381 -3.901609
2281 0.5346572644 1.376947 0.851934 -2.962886 -2.390024 -3.901609
2736 0.5250190102 1.366563 0.841080 -2.986237 -2.384728 -3.901074
2983 0.5214848427 1.361597 0.831644 -2.989365 -2.376768 -3.897843
3061 0.5188840682 1.363063 0.841080 -2.986237 -2.384728 -3.901074
3403 0.5168231978 1.363071 0.835915 -2.982867 -2.377210 -3.901475
3441 0.5148280587 1.365395 0.841686 -2.983062 -2.387258 -3.902074
3484 0.5094954628 1.362527 0.839709 -2.980173 -2.385213 -3.901913
4174 0.5070838582 1.363701 0.842515 -2.981628 -2.385388 -3.901375
4254 0.5066926170 1.364074 0.842369 -2.981151 -2.386686 -3.901739
4366 0.5041351558 1.364423 0.843072 -2.981492 -2.386758 -3.901931
4404 0.5040628768 1.363865 0.842488 -2.980753 -2.387307 -3.902071
4473 0.5036521716 1.363828 0.842335 -2.980597 -2.386985 -3.902118
4620 0.5034611516 1.364000 0.842817 -2.980795 -2.387468 -3.902200
4633 0.5030567047 1.363926 0.842570 -2.980713 -2.387372 -3.902344
4702 0.5029156215 1.363867 0.842492 -2.980903 -2.387266 -3.902280
4763 0.5028897916 1.363864 0.842532 -2.980833 -2.387183 -3.902225
4779 0.5015446354 1.363865 0.842770 -2.980753 -2.387307 -3.902344
4811 0.5013692826 1.363763 0.842995 -2.980709 -2.387629 -3.902597
5129 0.5009573493 1.363812 0.842736 -2.980761 -2.387307 -3.902344
5248 0.5007504380 1.363792 0.842787 -2.980805 -2.387304 -3.902415
5304 0.5002134563 1.363812 0.842736 -2.980831 -2.387307 -3.902344
5379 0.4997639220 1.363798 0.842736 -2.980833 -2.387321 -3.902344
5614 0.4995120837 1.363817 0.842781 -2.980839 -2.387341 -3.902354
5629 0.4994711915 1.363815 0.842768 -2.980834 -2.387337 -3.902348
5729 0.4993225908 1.363817 0.842773 -2.980834 -2.387337 -3.902351
5979 0.4993124706 1.363817 0.842773 -2.980832 -2.387339 -3.902351
6133 0.4993017013 1.363815 0.842776 -2.980831 -2.387344 -3.902354
6158 0.4992737682 1.363816 0.842777 -2.980831 -2.387344 -3.902354
6180 0.4992699794 1.363817 0.842776 -2.980831 -2.387343 -3.902353
6183 0.4992664739 1.363816 0.842777 -2.980831 -2.387344 -3.902354
6356 0.4992650165 1.363816 0.842777 -2.980831 -2.387343 -3.902353
6369 0.4992640900 1.363817 0.842780 -2.980832 -2.387345 -3.902355
6405 0.4992630451 1.363817 0.842778 -2.980832 -2.387343 -3.902353
6415 0.4992609738 1.363817 0.842781 -2.980832 -2.387345 -3.902355
6565 0.4992604776 1.363817 0.842781 -2.980832 -2.387345 -3.902355
6589 0.4992595244 1.363816 0.842780 -2.980832 -2.387345 -3.902354
6639 0.4992588208 1.363817 0.842780 -2.980832 -2.387345 -3.902355
6689 0.4992576598 1.363817 0.842780 -2.980832 -2.387345 -3.902355
6737 0.4992575040 1.363817 0.842780 -2.980832 -2.387345 -3.902354
6780 0.4992574562 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6853 0.4992569856 1.363816 0.842779 -2.980832 -2.387345 -3.902354
6857 0.4992567137 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6871 0.4992566874 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6874 0.4992564648 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6898 0.4992564498 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6923 0.4992563964 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6946 0.4992563406 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6948 0.4992562295 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6966 0.4992561863 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6974 0.4992561762 1.363817 0.842779 -2.980832 -2.387345 -3.902354
6983 0.4992560020 1.363817 0.842779 -2.980832 -2.387345 -3.902354
7119 0.4992559693 1.363817 0.842779 -2.980831 -2.387345 -3.902354
7146 0.4992559688 1.363817 0.842779 -2.980832 -2.387345 -3.902354
