evaluations raw_y x0 x1 x2 x3 x4
1 3.0352166071 -2.608793 -2.261086 0.339145 -4.339544 0.646165
13 2.0321744091 1.018138 -0.068197 -1.895293 -3.030790 2.703315
33 1.9717216597 -1.563776 -2.168854 3.387874 -5.000000 1.422770
42 1.2344820640 -1.037700 0.278892 1.951557 -4.757339 4.220217
55 0.9015174776 -4.077402 0.398270 0.433109 -3.992212 5.000000
86 0.0015182192 -5.000000 -1.122671 -0.020096 -5.000000 5.000000
111 0.0014810100 -5.000000 -1.030908 -0.020096 -5.000000 4.860213
136 0.0013681037 -4.696658 -0.177665 -0.020096 -4.873388 4.685235
139 0.0004380298 -5.000000 -1.118480 2.888804 -3.335410 3.348892
229 0.0003070401 -4.734644 -0.569855 2.731684 -3.992212 2.396807
255 0.0002981467 -5.000000 -0.056889 3.222338 -2.814508 2.615344
297 0.0002727231 -4.766013 -1.265034 2.513822 -2.964603 2.812994
331 0.0002409172 -5.000000 -0.749754 3.054832 -2.729654 2.695138
356 0.0002125298 -4.848395 -1.232070 3.126376 -2.942699 2.803609
365 0.0002011424 -4.899724 -1.328548 2.363740 -2.756980 2.536153
412 0.0001695503 -5.000000 -1.411118 2.500921 -2.781846 2.508332
418 0.0001606733 -4.724250 -1.167918 3.235868 -2.795152 2.613010
430 0.0001417434 -5.000000 -1.156837 3.222338 -2.814508 2.615344
433 0.0000870526 -4.646752 -1.397079 2.981229 -2.980642 2.407510
458 0.0000820330 -4.645165 -1.402644 2.963322 -2.961597 2.394957
480 0.0000542781 -4.851999 -1.577817 3.222338 -2.824231 2.457327
565 0.0000524721 -4.781462 -1.328548 3.154876 -2.744633 2.409557
590 0.0000462973 -4.832467 -1.328548 3.191913 -2.744633 2.409557
603 0.0000426275 -4.697246 -1.582478 3.178357 -2.764752 2.444783
652 0.0000357767 -4.750234 -1.478345 3.082385 -2.834531 2.377558
702 0.0000306737 -4.830365 -1.478345 3.082385 -2.834531 2.377558
779 0.0000287892 -4.847588 -1.463278 3.147281 -2.832572 2.386704
803 0.0000260150 -4.697246 -1.582478 3.178357 -2.848764 2.399580
853 0.0000254799 -4.697246 -1.585024 3.178357 -2.848764 2.399580
876 0.0000190527 -4.734549 -1.550826 3.113842 -2.746793 2.384258
