evaluations raw_y x0 x1 x2 x3 x4
1 13.7725774754 -4.298070 -1.009991 -2.682532 -1.605035 3.313358
3 12.2680523864 2.129913 1.052988 0.544437 0.294816 1.416504
5 5.1903033597 0.513408 1.437392 1.533994 -4.308727 -2.219072
14 3.8628950016 2.193086 -2.116244 -1.443910 -2.514643 -3.229687
20 3.6505051440 -2.605171 2.889428 -3.518441 1.622845 -0.127060
57 3.3721045005 1.801545 0.648591 -4.562629 -3.777620 -0.942587
66 2.3925800559 -0.422872 -0.731794 -5.000000 -1.751146 -2.168595
106 2.1093425508 1.484813 2.997633 -1.371255 -2.404364 -4.513040
111 1.8262838905 0.576488 -0.931606 -3.502987 -4.396628 -2.732401
149 1.7015069362 -0.716629 3.801173 -4.551211 0.524207 -0.181516
153 1.3334709720 -0.160504 2.217562 -3.202431 -3.120573 -1.357430
178 0.5101669942 0.330177 2.284032 -2.788504 -3.630021 -2.009064
403 0.4783653610 0.232640 2.115506 -2.889358 -3.427860 -1.936175
492 0.4522597906 0.281942 2.241075 -2.888885 -3.488627 -1.952414
493 0.2573251900 0.249108 2.047495 -2.975278 -2.987437 -2.020981
570 0.1885570929 0.371161 2.096041 -2.977685 -3.257583 -2.033643
701 0.1456981163 0.246156 2.027289 -2.977642 -3.183840 -2.025558
702 0.1394615296 0.390848 2.178388 -2.941036 -3.393526 -1.944506
706 0.0696515610 0.335566 2.032769 -2.978595 -3.086019 -1.987368
716 0.0594597588 0.297908 2.024873 -2.999211 -3.086113 -2.002917
736 0.0443213600 0.380759 2.103295 -2.941967 -3.134863 -2.069284
833 0.0159820171 0.353244 2.076680 -2.964386 -3.131857 -2.008943
933 0.0128231216 0.374080 2.079573 -2.953162 -3.147342 -2.024460
1032 0.0127571492 0.351946 2.061691 -2.933341 -3.148168 -2.026224
1041 0.0114819234 0.340580 2.065660 -2.965306 -3.139417 -2.022794
1049 0.0075317687 0.352616 2.081592 -2.963452 -3.155915 -2.021018
1065 0.0070007591 0.360735 2.095687 -2.964271 -3.159485 -2.028362
1077 0.0035804234 0.351555 2.081287 -2.939079 -3.155700 -2.031722
1116 0.0022338375 0.352143 2.083590 -2.949950 -3.151317 -2.032788
1156 0.0020670755 0.351332 2.082348 -2.954582 -3.147465 -2.031832
1166 0.0020298084 0.351542 2.083743 -2.945407 -3.154429 -2.033014
1219 0.0020171553 0.353474 2.079052 -2.952186 -3.149884 -2.031481
1223 0.0018411861 0.345356 2.075338 -2.952607 -3.146603 -2.027648
1228 0.0011313562 0.354359 2.084874 -2.953561 -3.150938 -2.029709
1240 0.0009813914 0.348193 2.079943 -2.946414 -3.150809 -2.028899
1277 0.0007015711 0.351353 2.077739 -2.948424 -3.150045 -2.029457
1313 0.0005553852 0.348914 2.078650 -2.950215 -3.149146 -2.027057
1372 0.0005183898 0.351677 2.081382 -2.953427 -3.149184 -2.025953
1379 0.0002455158 0.350222 2.078506 -2.950399 -3.148221 -2.027560
1463 0.0000905338 0.350658 2.080736 -2.949795 -3.151049 -2.028548
1529 0.0000363405 0.350924 2.080142 -2.950090 -3.150671 -2.028199
1653 0.0000307361 0.351169 2.080372 -2.950319 -3.151236 -2.028308
1682 0.0000264066 0.351065 2.080498 -2.950537 -3.151050 -2.028252
1708 0.0000096981 0.351489 2.080745 -2.950562 -3.150778 -2.028234
1745 0.0000087928 0.351276 2.080617 -2.950407 -3.150927 -2.028245
1866 0.0000052180 0.351494 2.080716 -2.950173 -3.150976 -2.028408
1922 0.0000051639 0.351491 2.080748 -2.950476 -3.150801 -2.028119
1942 0.0000040237 0.351480 2.080851 -2.950404 -3.150892 -2.028214
1946 0.0000036653 0.351474 2.080774 -2.950206 -3.150877 -2.028359
1957 0.0000014422 0.351494 2.080731 -2.950319 -3.150890 -2.028246
2078 0.0000004297 0.351456 2.080727 -2.950262 -3.151014 -2.028244
2185 0.0000003870 0.351463 2.080711 -2.950248 -3.150941 -2.028280
2210 0.0000003607 0.351462 2.080712 -2.950247 -3.150946 -2.028277
2260 0.0000002367 0.351469 2.080719 -2.950257 -3.150951 -2.028256
2269 0.0000001602 0.351445 2.080719 -2.950277 -3.150964 -2.028263
2294 0.0000001425 0.351447 2.080720 -2.950256 -3.150964 -2.028263
2371 0.0000001422 0.351437 2.080712 -2.950260 -3.150960 -2.028263
2382 0.0000000953 0.351443 2.080713 -2.950253 -3.150965 -2.028268
2410 0.0000000924 0.351447 2.080713 -2.950263 -3.150942 -2.028266
2434 0.0000000859 0.351448 2.080717 -2.950267 -3.150960 -2.028260
2439 0.0000000727 0.351450 2.080718 -2.950276 -3.150959 -2.028267
2443 0.0000000668 0.351453 2.080717 -2.950280 -3.150952 -2.028260
2448 0.0000000378 0.351447 2.080712 -2.950272 -3.150961 -2.028263
2485 0.0000000186 0.351441 2.080706 -2.950270 -3.150953 -2.028268
2503 0.0000000097 0.351442 2.080705 -2.950272 -3.150950 -2.028266
2551 0.0000000022 0.351441 2.080703 -2.950270 -3.150952 -2.028264
2658 0.0000000007 0.351444 2.080703 -2.950270 -3.150950 -2.028263
2711 0.0000000005 0.351444 2.080703 -2.950267 -3.150951 -2.028263
2833 0.0000000003 0.351444 2.080704 -2.950268 -3.150950 -2.028262
2886 0.0000000001 0.351443 2.080703 -2.950268 -3.150951 -2.028263
3681 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
