evaluations raw_y x0 x1 x2 x3 x4
1 1.9958811316 -1.236317 -0.589117 0.781597 -0.289426 1.148633
8 1.1104413321 -2.374645 1.145040 -4.925631 -3.477056 4.426691
13 0.7435377214 1.318737 4.855285 -0.472072 -4.650021 1.941425
33 0.5488354208 -1.110767 -0.131905 0.177851 -1.583382 5.000000
54 0.4581206823 1.453157 2.363103 -0.746433 -3.135983 1.694251
67 0.3797616186 -0.686838 1.961494 -2.373490 -1.032155 1.558335
100 0.3553783620 -1.660957 0.608406 -3.875951 1.972275 1.822160
104 0.3195912582 -0.095255 0.241344 0.219892 -1.165133 2.959250
110 0.1653468386 0.855226 0.636960 0.404198 1.432790 2.541854
142 0.1446010054 0.341631 1.478442 1.114267 0.129591 1.752365
191 0.1316994597 1.498668 1.931260 1.029992 1.918123 1.917073
251 0.1287521566 0.812930 0.519184 -0.034343 0.955376 2.015039
276 0.0736917591 1.096871 0.282121 1.200340 1.204108 1.879344
364 0.0537859961 1.624628 -0.131957 0.549612 1.886205 1.664046
425 0.0328103124 1.691255 0.015041 0.787707 1.933821 1.610184
540 0.0244014306 1.594972 0.103891 1.267756 1.766027 1.676004
587 0.0226251167 1.531247 0.025372 1.139639 1.975352 1.644908
629 0.0158873160 1.525932 -0.068065 1.215587 2.138850 1.572316
633 0.0154413245 1.535337 -0.072675 1.212755 2.149650 1.585757
681 0.0151613248 1.558959 -0.110626 1.270814 2.146161 1.574483
708 0.0144422729 1.528255 -0.002538 1.062743 1.959409 1.587280
718 0.0112915309 1.666510 -0.114550 1.237300 2.146362 1.588693
739 0.0109369247 1.669628 -0.132121 1.163231 2.215182 1.588179
804 0.0094499967 1.697175 -0.116034 1.241036 1.998107 1.577788
832 0.0075496546 1.710025 -0.194283 1.225748 2.078318 1.591379
847 0.0070187142 1.699916 -0.191446 1.287037 2.123333 1.589789
852 0.0060178901 1.750543 -0.169237 1.283898 2.132176 1.582929
859 0.0056399616 1.686545 -0.214499 1.255965 2.131193 1.578658
860 0.0048829104 1.772557 -0.176954 1.281775 2.198700 1.577305
