evaluations raw_y x0 x1 x2 x3 x4
1 10.4269797645 1.785059 -1.336330 -2.012122 -0.311539 1.594085
3 7.5311349424 -4.820759 1.695336 1.298461 -2.627674 0.740352
6 3.4223078229 -0.518529 2.495832 -3.439201 -1.588192 -3.304162
62 2.5576978782 -1.798750 3.295361 -2.415426 -3.729192 -2.165464
105 1.9817313857 0.606611 1.626387 -2.415426 -4.939894 -2.165464
128 1.8000445043 0.887488 1.389160 -2.428868 -5.000000 -2.413620
143 1.4779913690 0.286839 2.764531 -2.719421 -4.835248 -2.071110
163 1.2102198150 0.247845 2.146537 -3.098680 -2.959035 -2.490937
241 0.8029660536 0.456285 2.043559 -2.810668 -3.825797 -1.941065
322 0.5538878577 0.403269 2.057783 -2.861224 -3.706987 -1.896600
399 0.4111896954 0.419214 2.164207 -2.863034 -3.734749 -1.759928
493 0.3896846542 0.256251 2.093473 -2.574992 -4.093014 -1.983396
527 0.2629786015 0.402384 2.148098 -2.342098 -3.928222 -2.337861
549 0.1970673895 0.301162 2.136867 -2.714280 -3.652650 -1.990730
635 0.1801247840 0.303620 2.131846 -2.729260 -3.633366 -1.990321
660 0.1344141537 0.312386 2.115868 -2.790205 -3.566702 -1.974287
701 0.1192821086 0.312364 2.116861 -2.814183 -3.553873 -1.952811
710 0.1148093648 0.313865 2.124142 -2.784977 -3.556942 -1.978414
747 0.0942792223 0.346455 2.101361 -2.795810 -3.521683 -2.024997
828 0.0910854390 0.343933 2.097173 -2.815811 -3.500132 -2.012324
840 0.0751738031 0.340775 2.109862 -2.792191 -3.521696 -2.015414
898 0.0709536284 0.341536 2.099183 -2.814370 -3.493676 -2.005422
932 0.0701538047 0.343208 2.101301 -2.794120 -3.527318 -2.014594
933 0.0696735628 0.339537 2.093390 -2.823515 -3.527909 -1.984725
967 0.0638919146 0.335140 2.094242 -2.814869 -3.525500 -1.990133
1041 0.0627369401 0.337760 2.097107 -2.811100 -3.532380 -1.991726
1065 0.0626962047 0.338035 2.097540 -2.811259 -3.532386 -1.991442
1098 0.0600419111 0.336647 2.084690 -2.815474 -3.530074 -1.993392
1150 0.0594288159 0.337038 2.096550 -2.824029 -3.493442 -1.993771
1363 0.0586637178 0.338191 2.095704 -2.825329 -3.469365 -2.004408
1501 0.0576590085 0.336608 2.095088 -2.822595 -3.494876 -1.994827
1509 0.0574695562 0.338552 2.095685 -2.826893 -3.467968 -2.003613
1600 0.0572928858 0.336796 2.094675 -2.821903 -3.495996 -1.995451
1965 0.0563748781 0.338443 2.093010 -2.829678 -3.467928 -2.002010
2146 0.0563394741 0.337269 2.092870 -2.827810 -3.466353 -2.003714
2194 0.0556911753 0.336791 2.092649 -2.829231 -3.463702 -2.002629
2315 0.0554966214 0.338741 2.092831 -2.829603 -3.465085 -2.003657
2477 0.0550532307 0.339309 2.093102 -2.829641 -3.465214 -2.003467
2542 0.0550157302 0.339309 2.093103 -2.829643 -3.465191 -2.003467
2598 0.0547352094 0.338618 2.092894 -2.829730 -3.465880 -2.002909
2661 0.0546737188 0.338641 2.092906 -2.829712 -3.465899 -2.002895
2666 0.0546271971 0.338614 2.092960 -2.829857 -3.465926 -2.002872
2669 0.0544524379 0.338640 2.092885 -2.829816 -3.465674 -2.003075
2723 0.0543497231 0.338932 2.093004 -2.829539 -3.465666 -2.003152
2752 0.0541185122 0.338826 2.092944 -2.829752 -3.465551 -2.003189
2759 0.0540491886 0.338634 2.092906 -2.829831 -3.465537 -2.003171
2768 0.0539610757 0.338827 2.092942 -2.829742 -3.465542 -2.003208
2774 0.0536712822 0.338649 2.092921 -2.829900 -3.465366 -2.003194
2861 0.0536694702 0.338643 2.092946 -2.830062 -3.465161 -2.003192
2906 0.0535090367 0.338639 2.092920 -2.829923 -3.465333 -2.003181
2943 0.0534921398 0.338630 2.092920 -2.829928 -3.465373 -2.003192
2972 0.0534810352 0.338630 2.092922 -2.829960 -3.465306 -2.003175
3003 0.0534760027 0.338641 2.092920 -2.829927 -3.465334 -2.003173
3031 0.0534681549 0.338632 2.092921 -2.829964 -3.465262 -2.003174
3034 0.0534533100 0.338639 2.092921 -2.829936 -3.465323 -2.003176
3055 0.0534432391 0.338617 2.092919 -2.829987 -3.465286 -2.003176
3093 0.0534207729 0.338630 2.092919 -2.829964 -3.465293 -2.003157
3129 0.0533831794 0.338621 2.092918 -2.829969 -3.465299 -2.003163
3209 0.0533773100 0.338630 2.092925 -2.829954 -3.465313 -2.003167
3311 0.0533558990 0.338617 2.092919 -2.829978 -3.465293 -2.003158
3433 0.0533466691 0.338615 2.092928 -2.829980 -3.465317 -2.003166
3444 0.0532978090 0.338613 2.092921 -2.829981 -3.465293 -2.003164
3489 0.0532886574 0.338613 2.092921 -2.829982 -3.465292 -2.003164
3560 0.0532762071 0.338614 2.092925 -2.829985 -3.465302 -2.003164
3630 0.0532744252 0.338614 2.092925 -2.829985 -3.465302 -2.003164
3653 0.0532680161 0.338615 2.092922 -2.829983 -3.465294 -2.003163
3720 0.0532657584 0.338613 2.092924 -2.829984 -3.465299 -2.003166
3768 0.0532652348 0.338613 2.092924 -2.829985 -3.465302 -2.003166
3769 0.0532640451 0.338614 2.092930 -2.829990 -3.465312 -2.003170
3779 0.0532617548 0.338614 2.092930 -2.829990 -3.465313 -2.003171
3791 0.0532605245 0.338614 2.092930 -2.829991 -3.465312 -2.003170
3820 0.0532471316 0.338613 2.092934 -2.829993 -3.465322 -2.003174
3825 0.0532436601 0.338614 2.092933 -2.829993 -3.465319 -2.003174
3832 0.0532434557 0.338614 2.092934 -2.829993 -3.465323 -2.003174
3838 0.0532421792 0.338614 2.092934 -2.829994 -3.465320 -2.003174
3842 0.0532367854 0.338614 2.092937 -2.829996 -3.465325 -2.003177
3849 0.0532354322 0.338614 2.092936 -2.829996 -3.465325 -2.003176
3887 0.0532340090 0.338614 2.092935 -2.829994 -3.465323 -2.003175
3907 0.0532337968 0.338614 2.092935 -2.829994 -3.465323 -2.003175
3939 0.0532325928 0.338614 2.092937 -2.829995 -3.465326 -2.003177
3950 0.0532301448 0.338614 2.092937 -2.829994 -3.465332 -2.003177
3976 0.0532272821 0.338614 2.092935 -2.829994 -3.465324 -2.003175
3981 0.0532252500 0.338615 2.092937 -2.829996 -3.465326 -2.003177
4001 0.0532228989 0.338615 2.092938 -2.829992 -3.465332 -2.003177
4002 0.0532223170 0.338615 2.092938 -2.829992 -3.465333 -2.003178
4006 0.0532208482 0.338615 2.092937 -2.829992 -3.465331 -2.003177
4017 0.0532198381 0.338615 2.092938 -2.829992 -3.465332 -2.003178
4035 0.0532186486 0.338615 2.092938 -2.829993 -3.465331 -2.003177
4069 0.0532167654 0.338615 2.092937 -2.829995 -3.465327 -2.003176
4075 0.0532162977 0.338615 2.092937 -2.829995 -3.465327 -2.003176
4088 0.0532124528 0.338616 2.092938 -2.829993 -3.465331 -2.003177
