evaluations raw_y x0 x1 x2 x3 x4
1 1.9863734506 -1.315869 0.293222 1.730376 0.796283 4.142674
3 0.5640234332 -4.268281 3.247937 0.726215 -0.549384 2.656542
105 0.4958267792 1.277753 4.024749 -0.773720 1.951783 5.000000
111 0.2897701942 -1.913879 0.236500 0.146789 1.683748 2.119432
113 0.2875833029 -0.817773 1.971230 -2.364694 0.888214 1.706317
152 0.2308115157 0.718882 1.474871 0.689558 -0.549384 2.502070
210 0.1929012759 0.812186 0.623401 0.350706 1.402224 3.363201
212 0.1463004531 0.924537 -0.020622 0.370867 1.769785 2.611326
393 0.1173318395 1.250189 0.164982 0.353742 0.922994 1.653893
440 0.1129481063 1.250189 0.494063 0.448012 0.922994 1.957420
464 0.1105781267 1.135946 1.843330 0.605419 2.217285 1.636696
528 0.0737896667 1.621805 0.065475 1.038245 1.281097 1.957420
588 0.0696169636 0.865616 -0.165356 1.310135 1.176906 1.778122
662 0.0541621667 1.448409 0.512881 1.215458 1.870795 1.682921
709 0.0149187688 1.657937 0.084657 1.239467 1.864973 1.569852
1096 0.0149132765 1.794139 -0.078559 1.201486 2.037168 1.673995
1138 0.0135262975 1.779001 -0.208176 1.159830 2.110960 1.687464
1198 0.0115411824 1.817145 0.044835 1.263870 1.905759 1.572810
1224 0.0056638928 1.706187 -0.211397 1.195832 2.177915 1.583784
1446 0.0050884138 1.803864 -0.128350 1.249504 2.144946 1.596515
1501 0.0040014527 1.804487 -0.216121 1.201994 2.193473 1.593495
1514 0.0030433090 1.810129 -0.217521 1.228854 2.183313 1.585204
1660 0.0030299717 1.785116 -0.182491 1.232011 2.194060 1.559308
1674 0.0030263221 1.764768 -0.266066 1.273536 2.209282 1.586545
1705 0.0025845267 1.815251 -0.240680 1.232011 2.209035 1.576181
1743 0.0023829215 1.815251 -0.247452 1.241444 2.214444 1.578575
1780 0.0020898462 1.780732 -0.233009 1.309992 2.180098 1.570833
1818 0.0017992676 1.780732 -0.245261 1.267641 2.189457 1.564510
1857 0.0016651521 1.794016 -0.238949 1.267641 2.189457 1.564510
1961 0.0014553176 1.799452 -0.239214 1.243225 2.212131 1.554802
1969 0.0011112607 1.793597 -0.259750 1.265885 2.203656 1.554234
2018 0.0010915555 1.806214 -0.240450 1.273391 2.199584 1.560850
2041 0.0007901645 1.790010 -0.265452 1.278888 2.203656 1.552605
2149 0.0006594800 1.804359 -0.252494 1.280574 2.204672 1.555413
2192 0.0006251520 1.813687 -0.246022 1.279888 2.208871 1.555923
2220 0.0006013041 1.814127 -0.252494 1.284580 2.204672 1.559080
2222 0.0005564921 1.811393 -0.246633 1.278735 2.209276 1.553586
2257 0.0005092126 1.812761 -0.256465 1.288930 2.206468 1.559998
2298 0.0004572902 1.814173 -0.255377 1.297696 2.204974 1.561918
2314 0.0003600362 1.812621 -0.260563 1.297298 2.211979 1.560394
2438 0.0002489008 1.817314 -0.260952 1.303899 2.211289 1.560081
2514 0.0001827674 1.822364 -0.269023 1.298037 2.214844 1.557530
2530 0.0001816887 1.813711 -0.268885 1.302293 2.214535 1.557782
2578 0.0001459746 1.824015 -0.264732 1.302464 2.213183 1.558055
2613 0.0001357617 1.813381 -0.268574 1.303924 2.212329 1.555185
2695 0.0001285668 1.820087 -0.264366 1.307716 2.209908 1.557646
2696 0.0001106056 1.818260 -0.268505 1.303396 2.213941 1.556017
2742 0.0001091214 1.817262 -0.267357 1.310960 2.212129 1.556667
2764 0.0000915710 1.820759 -0.264850 1.307606 2.211035 1.555837
2798 0.0000884817 1.818975 -0.268357 1.308917 2.213706 1.556769
2820 0.0000833455 1.818782 -0.267696 1.307961 2.212835 1.555870
2822 0.0000730517 1.821805 -0.268412 1.308369 2.212336 1.556364
2835 0.0000676901 1.822392 -0.269623 1.307074 2.214526 1.556552
2913 0.0000540453 1.820685 -0.269079 1.309123 2.213497 1.555046
2952 0.0000530267 1.819213 -0.269437 1.310742 2.213268 1.554453
2990 0.0000526920 1.822151 -0.268445 1.307091 2.214823 1.554835
3036 0.0000381273 1.822151 -0.268243 1.307091 2.215454 1.553468
3066 0.0000365727 1.820582 -0.268142 1.307185 2.216450 1.552889
3129 0.0000313851 1.820820 -0.268586 1.310320 2.215502 1.553600
3230 0.0000310592 1.821150 -0.268757 1.309680 2.215011 1.553676
3246 0.0000270055 1.820808 -0.268652 1.309254 2.216227 1.552889
3283 0.0000252055 1.822206 -0.269004 1.310573 2.215309 1.553771
3329 0.0000233508 1.821269 -0.268950 1.310285 2.215957 1.553068
3361 0.0000220373 1.820808 -0.268704 1.310364 2.216052 1.552519
3394 0.0000201348 1.820823 -0.269327 1.309026 2.216185 1.552221
3434 0.0000182258 1.821455 -0.268973 1.310251 2.216285 1.552519
3472 0.0000172113 1.821040 -0.268768 1.310036 2.215890 1.552042
3489 0.0000171904 1.821178 -0.268825 1.310311 2.216101 1.552219
3491 0.0000169472 1.821139 -0.269088 1.310137 2.215917 1.552212
3524 0.0000138976 1.821605 -0.269093 1.311219 2.215364 1.552111
3528 0.0000129944 1.821551 -0.269093 1.311276 2.215431 1.551894
3558 0.0000127912 1.821349 -0.268785 1.310939 2.215773 1.551659
3568 0.0000119799 1.822044 -0.269082 1.310660 2.215771 1.551961
3611 0.0000113059 1.821443 -0.269077 1.310961 2.215677 1.551606
3638 0.0000102295 1.821648 -0.268943 1.310907 2.215718 1.551516
3684 0.0000098202 1.821754 -0.268709 1.310594 2.215562 1.551253
3696 0.0000093170 1.821854 -0.269106 1.311289 2.215656 1.551509
3717 0.0000084331 1.822133 -0.269214 1.311631 2.215488 1.551453
3735 0.0000083961 1.822632 -0.269215 1.311397 2.215668 1.551720
3743 0.0000083919 1.822840 -0.269331 1.311418 2.215626 1.551729
3746 0.0000082045 1.822377 -0.269099 1.311697 2.215434 1.551469
3749 0.0000079434 1.822713 -0.268955 1.311178 2.215608 1.551525
3797 0.0000073524 1.822893 -0.268913 1.311126 2.215634 1.551400
3823 0.0000070698 1.823209 -0.268836 1.310948 2.215770 1.551449
3831 0.0000065491 1.823263 -0.268726 1.311442 2.215658 1.551453
3918 0.0000061288 1.823173 -0.268726 1.311295 2.215772 1.551321
3943 0.0000058284 1.823173 -0.268822 1.311444 2.215830 1.551370
4001 0.0000057845 1.822877 -0.268866 1.311346 2.215962 1.551337
4004 0.0000055640 1.822901 -0.268862 1.311394 2.215935 1.551304
4020 0.0000055608 1.822936 -0.268724 1.311587 2.215811 1.551287
4026 0.0000054128 1.822877 -0.268783 1.311499 2.215865 1.551245
4034 0.0000053417 1.823061 -0.268670 1.311492 2.215790 1.551234
4044 0.0000052975 1.823280 -0.268773 1.311310 2.215916 1.551261
4050 0.0000050755 1.823154 -0.268805 1.311518 2.215908 1.551279
4060 0.0000050029 1.823148 -0.268782 1.311515 2.216007 1.551301
4078 0.0000050000 1.823144 -0.268855 1.311380 2.216033 1.551282
4090 0.0000049801 1.822981 -0.268647 1.311275 2.215973 1.551078
4099 0.0000047281 1.823206 -0.268782 1.311518 2.216025 1.551251
4137 0.0000046076 1.823229 -0.268709 1.311277 2.216070 1.551123
4138 0.0000045140 1.823229 -0.268702 1.311369 2.216027 1.551078
4155 0.0000042907 1.823325 -0.268652 1.311124 2.216309 1.551103
4203 0.0000041557 1.823325 -0.268719 1.311264 2.216309 1.551131
4207 0.0000040428 1.823390 -0.268694 1.311602 2.216160 1.551147
4231 0.0000040332 1.823379 -0.268684 1.311529 2.216219 1.551146
4239 0.0000039443 1.823292 -0.268700 1.311321 2.216437 1.551110
4251 0.0000039002 1.823395 -0.268742 1.311493 2.216347 1.551178
4255 0.0000038536 1.823382 -0.268757 1.311529 2.216364 1.551175
4269 0.0000037500 1.823471 -0.268745 1.311406 2.216361 1.551132
4275 0.0000036985 1.823329 -0.268723 1.311376 2.216381 1.551050
4298 0.0000036155 1.823274 -0.268647 1.311263 2.216392 1.550964
4317 0.0000033114 1.823294 -0.268674 1.311144 2.216563 1.550909
4354 0.0000030611 1.823462 -0.268756 1.311391 2.216517 1.550996
4368 0.0000028304 1.823600 -0.268709 1.311345 2.216690 1.550980
4384 0.0000027158 1.823451 -0.268738 1.311338 2.216590 1.550880
4406 0.0000025727 1.823729 -0.268749 1.311392 2.216636 1.550979
4420 0.0000024534 1.823664 -0.268731 1.311190 2.216717 1.550841
4444 0.0000024017 1.823592 -0.268741 1.311304 2.216739 1.550848
4456 0.0000023824 1.823617 -0.268719 1.311307 2.216800 1.550866
4463 0.0000021229 1.823761 -0.268769 1.311523 2.216680 1.550873
4474 0.0000020892 1.823676 -0.268747 1.311329 2.216727 1.550780
4481 0.0000020743 1.823674 -0.268746 1.311238 2.216763 1.550736
4497 0.0000019928 1.823806 -0.268768 1.311298 2.216839 1.550820
4498 0.0000018983 1.823797 -0.268737 1.311426 2.216827 1.550803
4525 0.0000017030 1.823893 -0.268793 1.311469 2.216787 1.550786
4543 0.0000015994 1.823862 -0.268765 1.311489 2.216788 1.550717
4554 0.0000015891 1.823920 -0.268763 1.311437 2.216774 1.550668
4573 0.0000014764 1.823937 -0.268766 1.311539 2.216782 1.550688
4600 0.0000013309 1.824032 -0.268760 1.311603 2.216917 1.550720
4617 0.0000012844 1.824174 -0.268817 1.311727 2.216841 1.550779
4660 0.0000012049 1.824101 -0.268801 1.311656 2.217036 1.550737
4699 0.0000011944 1.824066 -0.268816 1.311723 2.216918 1.550728
4700 0.0000011294 1.824134 -0.268874 1.311795 2.216991 1.550761
4734 0.0000011027 1.824167 -0.268855 1.311656 2.217075 1.550748
4749 0.0000010905 1.824210 -0.268896 1.311803 2.217084 1.550796
