evaluations raw_y x0 x1 x2 x3 x4
1 16.6561072646 2.200472 -1.765876 -2.570640 2.486002 3.245036
2 14.2638739719 4.433899 -2.291451 -0.177912 3.105430 1.918141
3 5.4758973776 -3.654402 0.414888 -4.331780 -0.222254 -2.263930
18 4.6113677885 -3.917823 0.096695 -4.055460 0.099046 0.128907
21 3.6239239498 -0.437608 -2.017462 -4.141288 -2.975525 -0.418709
51 1.9007825691 -0.320892 0.215354 -3.328653 -4.425481 -1.295040
139 1.6291171500 2.071923 -2.819394 -4.694789 -2.339376 -4.705896
289 1.5834634605 0.300520 2.111602 -3.276963 -1.806803 -3.458796
351 1.0613917823 1.337701 -1.552719 -4.448664 -3.727500 -2.906259
542 0.9067549844 0.638535 2.372998 -3.535763 -2.135308 -1.724960
757 0.5306015354 0.271082 1.995280 -2.737933 -2.699347 -2.331048
931 0.4749341288 0.315116 2.049153 -2.877822 -2.866933 -2.352296
987 0.4656390689 0.358165 1.935061 -2.808593 -2.972468 -2.075428
1102 0.3659840194 0.541478 2.214598 -2.914812 -2.838029 -2.299431
1103 0.3429712532 0.261756 2.062949 -2.627073 -3.616026 -2.066987
1269 0.2299476266 0.427742 2.107491 -2.852126 -3.572410 -2.016298
1431 0.2102216210 0.418563 2.099080 -2.825664 -3.583655 -2.044053
1473 0.1524789565 0.393614 2.140120 -2.957777 -2.993081 -2.088513
1601 0.1423802863 0.407659 2.045448 -2.968794 -3.120567 -1.958770
1641 0.0676408686 0.425396 2.089171 -3.006193 -3.128900 -2.023071
1844 0.0464841578 0.318407 2.045602 -2.888856 -3.200535 -2.064558
1897 0.0398093664 0.361595 2.107519 -2.921179 -3.144836 -2.062318
1909 0.0388931699 0.367947 2.081381 -2.896956 -3.248491 -2.054963
1936 0.0341436991 0.316737 2.037626 -2.913807 -3.138314 -2.045586
1968 0.0301903144 0.333015 2.083687 -2.967754 -3.139454 -2.011374
1987 0.0261058503 0.357199 2.089081 -2.961944 -3.190930 -1.999458
1992 0.0243152378 0.349594 2.094991 -2.941225 -3.137566 -2.046402
2022 0.0169707365 0.329244 2.064951 -2.924298 -3.167964 -2.038044
2058 0.0163376010 0.345890 2.064951 -2.924298 -3.173873 -2.048624
2087 0.0158226478 0.351321 2.101951 -2.923896 -3.159319 -2.041108
2092 0.0130007750 0.339488 2.067762 -2.971886 -3.135910 -2.013773
2159 0.0121279490 0.357474 2.091717 -2.926736 -3.164008 -2.038555
2160 0.0119563764 0.365909 2.077574 -2.961130 -3.153105 -2.020669
2174 0.0109097999 0.350512 2.087679 -2.934456 -3.149056 -2.031236
2193 0.0057785864 0.355056 2.079478 -2.939630 -3.161533 -2.025428
2200 0.0038807788 0.357297 2.089300 -2.951478 -3.156961 -2.022253
2240 0.0025171063 0.354170 2.086677 -2.945054 -3.147837 -2.033909
2360 0.0021564387 0.345052 2.075085 -2.946579 -3.145701 -2.029669
2386 0.0018927015 0.349179 2.074897 -2.955662 -3.150118 -2.023538
2445 0.0018205272 0.350265 2.080831 -2.946102 -3.153864 -2.026693
2449 0.0015787441 0.350065 2.086639 -2.950099 -3.151286 -2.027001
2470 0.0014881329 0.351853 2.083718 -2.953175 -3.153543 -2.024289
2479 0.0011581147 0.352134 2.078407 -2.946339 -3.148543 -2.028991
2490 0.0010097545 0.350604 2.077298 -2.953797 -3.151072 -2.025582
2503 0.0009027885 0.351172 2.080746 -2.952696 -3.141608 -2.029347
2542 0.0004935308 0.352061 2.082209 -2.953168 -3.148455 -2.026208
2658 0.0004237708 0.352916 2.083237 -2.949436 -3.151364 -2.029421
2659 0.0002960740 0.349893 2.078477 -2.950559 -3.148917 -2.028421
2665 0.0001924261 0.351486 2.080870 -2.951337 -3.151591 -2.028244
2692 0.0001373820 0.350412 2.079229 -2.950810 -3.149523 -2.027996
2725 0.0000262768 0.351857 2.081189 -2.950153 -3.151233 -2.028316
2867 0.0000212974 0.351546 2.080645 -2.949810 -3.151193 -2.028386
2913 0.0000082888 0.351658 2.080789 -2.950345 -3.150925 -2.028250
3008 0.0000055240 0.351433 2.080858 -2.950267 -3.150993 -2.028282
3044 0.0000044827 0.351390 2.080696 -2.950245 -3.151055 -2.028357
3134 0.0000027601 0.351400 2.080761 -2.950305 -3.151056 -2.028301
3181 0.0000023483 0.351547 2.080778 -2.950268 -3.150984 -2.028278
3189 0.0000016141 0.351455 2.080737 -2.950287 -3.151064 -2.028213
3287 0.0000011083 0.351429 2.080713 -2.950307 -3.150883 -2.028250
3303 0.0000010779 0.351456 2.080753 -2.950280 -3.151038 -2.028303
3307 0.0000007406 0.351455 2.080753 -2.950282 -3.150982 -2.028263
3316 0.0000005662 0.351419 2.080712 -2.950309 -3.150968 -2.028273
3334 0.0000004201 0.351457 2.080698 -2.950260 -3.150963 -2.028239
3343 0.0000003923 0.351432 2.080700 -2.950233 -3.151015 -2.028268
3389 0.0000001841 0.351438 2.080719 -2.950287 -3.150952 -2.028265
3483 0.0000001673 0.351425 2.080682 -2.950255 -3.150944 -2.028262
3532 0.0000000775 0.351442 2.080691 -2.950273 -3.150944 -2.028266
3556 0.0000000567 0.351435 2.080692 -2.950278 -3.150932 -2.028258
3590 0.0000000287 0.351437 2.080696 -2.950271 -3.150940 -2.028263
3626 0.0000000233 0.351446 2.080697 -2.950268 -3.150952 -2.028267
3666 0.0000000113 0.351443 2.080698 -2.950269 -3.150945 -2.028261
3711 0.0000000101 0.351439 2.080697 -2.950267 -3.150944 -2.028264
3727 0.0000000091 0.351438 2.080698 -2.950268 -3.150950 -2.028264
3744 0.0000000067 0.351440 2.080698 -2.950267 -3.150945 -2.028262
3756 0.0000000017 0.351441 2.080701 -2.950269 -3.150951 -2.028263
3836 0.0000000015 0.351443 2.080703 -2.950269 -3.150948 -2.028261
3849 0.0000000008 0.351443 2.080701 -2.950269 -3.150948 -2.028262
3873 0.0000000006 0.351443 2.080703 -2.950269 -3.150948 -2.028263
