evaluations raw_y x0 x1 x2 x3 x4
1 9.2714855517 -4.510656 -2.760781 4.469064 0.040694 -2.823488
3 8.5387173525 1.496342 3.359774 4.267548 1.880415 -4.116866
4 5.6973736973 -0.136399 -2.471940 -1.421547 0.978701 -1.068146
6 4.3074904633 1.524125 -0.390729 -0.774367 -0.657406 0.037952
10 3.6461972446 -0.134509 -1.898280 -2.563437 1.109188 1.438422
12 2.8410367495 4.140618 0.201299 0.285975 2.598079 2.278225
13 2.7310530002 4.137335 -0.948739 2.939537 3.650911 4.993085
20 0.4632415250 0.654844 1.794513 -3.379262 2.427151 4.634904
35 0.4127681498 -0.286635 4.179684 -2.060690 1.109188 4.548903
111 0.4095355773 2.324334 3.906439 -2.637862 1.998853 4.929048
161 0.3942634027 2.552136 3.906439 -2.566144 1.908922 4.901490
185 0.3849739260 1.830270 3.120652 -1.720724 0.701588 4.526234
199 0.2824900426 3.063347 2.575671 -3.156288 1.656433 4.387953
205 0.2005851914 2.400648 2.393997 -1.907326 1.907978 4.481311
226 0.1734394010 3.826379 2.774408 -2.100170 1.743833 4.448166
326 0.1305597466 3.897579 2.442558 -2.154454 1.956959 4.501777
353 0.1286097560 3.792215 1.824873 -2.260386 1.743012 4.635999
356 0.0986600088 4.150266 1.995436 -2.125450 1.754515 4.568721
418 0.0961802321 3.650205 2.139506 -1.895564 1.880716 4.563757
472 0.0946764077 3.930257 2.311542 -2.003518 1.776700 4.514672
482 0.0885408322 3.944864 1.961122 -2.079198 1.617062 4.528801
486 0.0752575448 4.021009 1.705637 -1.600216 1.818904 4.507587
495 0.0632958666 4.025197 1.426483 -1.898943 1.796594 4.535127
545 0.0558233811 4.025197 1.454139 -1.966338 1.761517 4.530773
551 0.0555590186 3.873135 1.859670 -1.628113 1.835070 4.509654
570 0.0528784052 4.021810 1.584299 -1.892805 1.804229 4.524047
593 0.0445813183 3.755470 1.881261 -1.745608 1.821779 4.556119
632 0.0397983230 3.884280 1.798626 -1.932924 1.697940 4.543521
652 0.0367081454 3.830217 1.870828 -1.816362 1.819368 4.516480
671 0.0350392364 3.751625 1.790804 -1.928063 1.834699 4.533437
682 0.0272048096 3.884280 1.659531 -1.804940 1.781819 4.543521
732 0.0231531292 3.803409 1.670669 -1.881184 1.771204 4.519405
742 0.0209165452 3.885394 1.817204 -1.778594 1.786200 4.541632
792 0.0154465467 3.836369 1.805326 -1.786310 1.765120 4.539399
871 0.0110478180 3.788733 1.722926 -1.795822 1.750708 4.531401
916 0.0099114919 3.827450 1.720358 -1.839432 1.764533 4.521873
966 0.0097413971 3.830986 1.720023 -1.840679 1.761066 4.521980
1043 0.0094255699 3.849360 1.736890 -1.826422 1.749166 4.545541
1047 0.0076845978 3.811360 1.737781 -1.803305 1.747646 4.535721
1056 0.0068043590 3.858937 1.763118 -1.811398 1.756216 4.532088
1097 0.0064095996 3.823250 1.739492 -1.801443 1.754079 4.537048
1139 0.0046115884 3.822210 1.722547 -1.810843 1.766404 4.533774
1145 0.0039257391 3.809980 1.727933 -1.815211 1.762551 4.533457
1195 0.0038980319 3.810050 1.727421 -1.815362 1.762377 4.533459
1243 0.0038856175 3.836332 1.738706 -1.812700 1.755125 4.537155
1250 0.0035013884 3.810176 1.726051 -1.818299 1.761654 4.533610
1355 0.0032270642 3.823210 1.739092 -1.809898 1.763382 4.535100
1381 0.0017501825 3.834776 1.738594 -1.815143 1.759101 4.534716
1506 0.0010262356 3.831419 1.735506 -1.817755 1.760460 4.534533
1584 0.0003561696 3.828399 1.735199 -1.821931 1.760351 4.534342
1659 0.0002349594 3.830112 1.735747 -1.822836 1.760397 4.534403
1809 0.0002333919 3.830022 1.735808 -1.822605 1.760505 4.534460
1884 0.0002182030 3.830408 1.736228 -1.822144 1.760869 4.534433
1984 0.0002004145 3.830291 1.736075 -1.822352 1.760759 4.534433
2024 0.0001943885 3.830308 1.735730 -1.822834 1.760492 4.534391
2027 0.0001565235 3.830075 1.734885 -1.822850 1.760882 4.534407
2076 0.0001457647 3.830329 1.735225 -1.822959 1.760672 4.534289
2087 0.0001283951 3.829680 1.735456 -1.822570 1.760894 4.534341
2112 0.0000773788 3.830216 1.735609 -1.822409 1.760885 4.534357
2137 0.0000680766 3.830365 1.735635 -1.822411 1.760847 4.534352
2193 0.0000405592 3.830391 1.735394 -1.822338 1.760612 4.534346
2367 0.0000274926 3.830306 1.735405 -1.822373 1.760821 4.534368
2451 0.0000085616 3.830328 1.735346 -1.822390 1.760725 4.534356
2526 0.0000077213 3.830330 1.735367 -1.822383 1.760736 4.534351
