evaluations raw_y x0 x1 x2 x3 x4
1 15.4827920143 1.239724 -2.765573 4.446850 0.637102 -2.326597
2 5.7380276806 -1.987737 -1.817695 -4.951832 0.444099 -0.638227
3 3.9525278079 -0.201988 3.512064 1.802980 -4.342245 -2.128687
17 3.4816338944 -4.064798 1.802045 0.193791 -2.857969 -1.310621
101 3.0378716197 -2.527336 0.554659 -1.261466 -1.658515 -1.772688
216 1.9394956578 1.397804 5.000000 -2.980513 -2.547392 -2.571786
306 1.9386700268 0.697394 -0.926946 -4.372629 -5.000000 -2.000243
336 0.9633907896 -0.684049 -0.898566 -3.880609 -4.011038 -1.028911
829 0.7440640435 -0.971589 -0.851899 -3.551657 -4.579795 -1.334948
1092 0.7426349217 0.135883 1.872145 -2.851050 -2.768666 -1.923463
1093 0.5818606385 0.512111 2.069324 -3.492030 -2.724294 -1.941779
1295 0.5608756449 0.549376 1.985671 -2.781941 -2.764545 -2.585868
1648 0.4949234845 0.479695 2.105651 -3.511824 -2.661760 -1.853632
1793 0.4417524143 0.422666 2.210562 -3.151605 -2.802610 -2.068386
1807 0.4298918381 0.396135 2.111815 -3.341386 -2.713679 -1.922443
1827 0.3244422783 0.390433 2.135131 -3.168309 -2.817576 -2.051671
1828 0.2968383918 0.236891 2.097523 -3.018496 -2.773004 -2.015779
1863 0.2073437203 0.412811 2.062858 -3.015703 -2.675026 -2.235829
2027 0.1963711969 0.321598 2.029212 -3.184207 -2.644862 -1.989102
2065 0.1786261051 0.306999 1.994382 -3.122765 -2.646167 -2.061178
2171 0.1481383847 0.338323 2.050971 -3.116837 -2.683891 -2.054933
2216 0.1285784816 0.354232 2.037731 -3.200354 -2.594576 -2.029388
2312 0.0654120923 0.350120 2.040593 -3.049562 -3.081553 -1.973199
2333 0.0519982732 0.355581 2.054744 -2.966856 -3.070193 -2.035998
2358 0.0424579608 0.355643 2.056298 -2.963401 -3.077914 -2.035998
2402 0.0417369724 0.333381 2.077589 -2.963815 -3.079770 -2.035111
2483 0.0364725898 0.353963 2.055925 -2.951451 -3.100306 -2.038654
2497 0.0286332064 0.335431 2.067285 -2.976700 -3.118104 -2.000443
2531 0.0245688726 0.352326 2.066792 -2.950930 -3.107310 -2.046318
2562 0.0239046555 0.366363 2.079494 -2.971200 -3.108046 -2.012698
2581 0.0068085739 0.347385 2.068582 -2.950188 -3.128601 -2.026228
2662 0.0054792615 0.345812 2.070748 -2.940910 -3.153689 -2.021775
2764 0.0027980892 0.354451 2.082569 -2.952623 -3.159205 -2.023278
2844 0.0025942447 0.350645 2.076156 -2.943791 -3.145542 -2.026787
2855 0.0011962978 0.345984 2.075591 -2.948306 -3.151972 -2.029391
2961 0.0009935242 0.355513 2.086505 -2.951494 -3.151851 -2.028254
2975 0.0009489632 0.352575 2.080313 -2.951307 -3.149643 -2.030943
2978 0.0007442246 0.352134 2.080236 -2.953371 -3.151198 -2.027546
3075 0.0005068206 0.353957 2.081623 -2.951032 -3.150445 -2.029893
3111 0.0004746538 0.353174 2.082862 -2.951432 -3.153372 -2.028285
3130 0.0001922641 0.352070 2.080819 -2.950153 -3.152077 -2.027453
3165 0.0001184082 0.351936 2.080369 -2.949806 -3.151657 -2.029179
3303 0.0001034987 0.350398 2.079999 -2.950231 -3.151016 -2.028006
3304 0.0000999955 0.351740 2.080794 -2.948971 -3.152790 -2.028921
3328 0.0000874731 0.350458 2.079862 -2.950036 -3.151046 -2.028173
3376 0.0000619932 0.351068 2.080492 -2.950730 -3.150640 -2.028552
3413 0.0000604817 0.351483 2.081080 -2.951066 -3.150401 -2.028064
3424 0.0000598767 0.351475 2.081211 -2.949597 -3.151679 -2.028567
3488 0.0000535338 0.351483 2.081080 -2.950879 -3.150450 -2.028189
3503 0.0000311345 0.351415 2.080543 -2.950666 -3.150820 -2.028290
3538 0.0000271301 0.351629 2.081068 -2.950653 -3.150600 -2.028190
3539 0.0000251818 0.351347 2.080858 -2.950018 -3.151489 -2.028284
3556 0.0000193221 0.351448 2.080937 -2.950406 -3.151262 -2.028178
3563 0.0000149517 0.351629 2.080730 -2.950462 -3.150772 -2.028106
3614 0.0000129160 0.351347 2.080858 -2.950031 -3.151024 -2.028274
3639 0.0000124697 0.351352 2.080876 -2.950028 -3.151036 -2.028275
3722 0.0000123741 0.351345 2.080455 -2.950175 -3.150682 -2.028408
3726 0.0000036981 0.351335 2.080641 -2.950328 -3.150965 -2.028239
3762 0.0000012989 0.351385 2.080636 -2.950273 -3.150873 -2.028265
3837 0.0000012697 0.351388 2.080644 -2.950270 -3.150870 -2.028267
4009 0.0000012672 0.351391 2.080723 -2.950253 -3.150942 -2.028274
4022 0.0000012220 0.351371 2.080670 -2.950207 -3.150953 -2.028271
4042 0.0000008773 0.351418 2.080686 -2.950295 -3.150893 -2.028252
4044 0.0000007426 0.351453 2.080692 -2.950280 -3.150871 -2.028264
4069 0.0000007365 0.351452 2.080691 -2.950280 -3.150871 -2.028264
4094 0.0000005134 0.351467 2.080704 -2.950231 -3.150935 -2.028263
4104 0.0000001367 0.351443 2.080702 -2.950261 -3.150968 -2.028252
4362 0.0000000694 0.351450 2.080696 -2.950274 -3.150953 -2.028266
4363 0.0000000416 0.351440 2.080700 -2.950270 -3.150962 -2.028254
4396 0.0000000338 0.351443 2.080705 -2.950258 -3.150969 -2.028266
4429 0.0000000255 0.351438 2.080694 -2.950263 -3.150952 -2.028264
4480 0.0000000205 0.351451 2.080709 -2.950269 -3.150949 -2.028263
4497 0.0000000136 0.351444 2.080700 -2.950275 -3.150941 -2.028261
4561 0.0000000097 0.351444 2.080700 -2.950273 -3.150940 -2.028259
4610 0.0000000076 0.351444 2.080701 -2.950273 -3.150944 -2.028261
4661 0.0000000072 0.351443 2.080699 -2.950269 -3.150946 -2.028262
4671 0.0000000060 0.351444 2.080706 -2.950263 -3.150959 -2.028265
4677 0.0000000052 0.351445 2.080701 -2.950264 -3.150948 -2.028262
4696 0.0000000045 0.351444 2.080706 -2.950266 -3.150954 -2.028264
4777 0.0000000013 0.351445 2.080704 -2.950270 -3.150949 -2.028263
4807 0.0000000008 0.351441 2.080702 -2.950268 -3.150951 -2.028264
4973 0.0000000005 0.351445 2.080704 -2.950268 -3.150951 -2.028263
4984 0.0000000003 0.351444 2.080702 -2.950267 -3.150950 -2.028263
5076 0.0000000002 0.351443 2.080702 -2.950268 -3.150951 -2.028263
5450 0.0000000001 0.351443 2.080703 -2.950268 -3.150951 -2.028263
10000 0.0000000000 0.351443 2.080703 -2.950268 -3.150951 -2.028263
